SampName,Specimen,SampNum,Time of year,Increment number,Estimated date,Estimated day of year,Final_d13Ccarb,d13C_SD,Final_d18Ocarb_VPDB,d18O_SD,D47rfac,D47,D47_SD
P1_48,P1,48,upwelling (Jan-Apr),89,05/02/2005,35,0.36,0.030214895,-0.44,0.059240652,0.693,0.631,0.039056165
P1_49,P1,49,upwelling (Jan-Apr),91,03/02/2005,33,0.37,0.030214895,-0.53,0.059240652,0.658,0.596,0.039056165
P1_49,P1,49,upwelling (Jan-Apr),91,03/02/2005,33,0.34,0.030214895,-0.61,0.059240652,0.662,0.6,0.039056165
P1_50,P1,50,upwelling (Jan-Apr),93,01/02/2005,31,0.17,0.030214895,-0.96,0.059240652,0.736,0.674,0.039056165
P1_50,P1,50,upwelling (Jan-Apr),93,01/02/2005,31,0.15,0.030214895,-1.04,0.059240652,0.684,0.622,0.039056165
P1_51,P1,51,Oct-Dec,95,30/01/2005,29,0.36,0.030214895,-1.66,0.059240652,0.643,0.581,0.039056165
P1_51,P1,51,Oct-Dec,95,30/01/2005,29,0.39,0.030214895,-1.64,0.059240652,0.634,0.572,0.039056165
P1_52,P1,52,Oct-Dec,97,24/01/2005,23.22,0.39,0.030214895,-1.79,0.059240652,0.715,0.653,0.039056165
P1_52,P1,52,Oct-Dec,97,24/01/2005,23.22,0.37,0.030214895,-1.82,0.059240652,0.673,0.611,0.039056165
P1_53,P1,53,Oct-Dec,99,18/01/2005,17.43,0.24,0.030214895,-1.79,0.059240652,0.691,0.629,0.039056165
P1_53,P1,53,Oct-Dec,99,18/01/2005,17.43,0.26,0.030214895,-1.84,0.059240652,0.683,0.621,0.039056165
P1_54,P1,54,Oct-Dec,101,12/01/2005,11.65,0.31,0.030214895,-2.05,0.059240652,0.832,0.77,0.039056165
P1_54,P1,54,Oct-Dec,101,12/01/2005,11.65,0.36,0.030214895,-2.19,0.059240652,0.723,0.661,0.039056165
P1_55,P1,55,Oct-Dec,102,09/01/2005,8.76,0.26,0.030214895,-2.5,0.059240652,0.627,0.565,0.039056165
P1_55,P1,55,Oct-Dec,102,09/01/2005,8.76,0.28,0.030214895,-2.41,0.059240652,0.591,0.529,0.039056165
P1_56,P1,56,Oct-Dec,104,03/01/2005,2.97,0.18,0.030214895,-2.1,0.059240652,0.668,0.606,0.039056165
P1_56,P1,56,Oct-Dec,104,03/01/2005,2.97,0.13,0.030214895,-2.14,0.059240652,0.689,0.627,0.039056165
P1_57,P1,57,Oct-Dec,106,29/12/2004,363.19,0.01,0.030214895,-2.29,0.059240652,0.618,0.556,0.039056165
P1_57,P1,57,Oct-Dec,106,29/12/2004,363.19,-0.04,0.030214895,-2.4,0.059240652,0.665,0.603,0.039056165
P1_58,P1,58,Oct-Dec,108,23/12/2004,357.41,0.19,0.030214895,-2.29,0.059240652,0.626,0.564,0.039056165
P1_58,P1,58,Oct-Dec,108,23/12/2004,357.41,0.17,0.030214895,-2.36,0.059240652,0.691,0.629,0.039056165
P1_59,P1,59,Oct-Dec,110,17/12/2004,351.62,0.09,0.030214895,-2.35,0.059240652,0.75,0.688,0.039056165
P1_59,P1,59,Oct-Dec,110,17/12/2004,351.62,0.04,0.030214895,-2.4,0.059240652,0.649,0.587,0.039056165
P1_60,P1,60,Oct-Dec,112,11/12/2004,345.84,0.08,0.030214895,-2.47,0.059240652,0.815,0.753,0.039056165
P1_60,P1,60,Oct-Dec,112,11/12/2004,345.84,0.11,0.030214895,-2.45,0.059240652,0.745,0.683,0.039056165
P1_61,P1,61,Oct-Dec,114,06/12/2004,340.05,0.23,0.030214895,-2.41,0.059240652,0.633,0.571,0.039056165
P1_61,P1,61,Oct-Dec,114,06/12/2004,340.05,0.22,0.030214895,-2.37,0.059240652,0.643,0.581,0.039056165
P1_62,P1,62,Oct-Dec,115,03/12/2004,337.16,0.11,0.030214895,-2.22,0.059240652,0.669,0.607,0.039056165
P1_62,P1,62,Oct-Dec,115,03/12/2004,337.16,0.11,0.030214895,-2.13,0.059240652,0.603,0.541,0.039056165
P1_63,P1,63,Oct-Dec,117,27/11/2004,331.38,0.28,0.030214895,-2.22,0.059240652,0.671,0.609,0.039056165
P1_63,P1,63,Oct-Dec,117,27/11/2004,331.38,0.25,0.030214895,-2.3,0.059240652,0.623,0.561,0.039056165
P1_64,P1,64,Oct-Dec,119,21/11/2004,325.59,0.43,0.030214895,-2.01,0.059240652,0.704,0.642,0.039056165
P1_64,P1,64,Oct-Dec,119,21/11/2004,325.59,0.43,0.030214895,-2.02,0.059240652,0.717,0.655,0.039056165
P1_65,P1,65,Oct-Dec,121,15/11/2004,319.81,0.37,0.030214895,-1.9,0.059240652,0.656,0.594,0.039056165
P1_65,P1,65,Oct-Dec,121,15/11/2004,319.81,0.4,0.030214895,-1.81,0.059240652,0.676,0.614,0.039056165
P1_66,P1,66,Oct-Dec,123,10/11/2004,314.03,0.4,0.030214895,-1.82,0.059240652,0.674,0.612,0.039056165
P1_67,P1,67,Oct-Dec,125,04/11/2004,308.24,0.57,0.030214895,-1.88,0.059240652,0.706,0.644,0.039056165
P1_68,P1,68,Oct-Dec,127,29/10/2004,302.46,0.58,0.030214895,-1.93,0.059240652,0.699,0.637,0.039056165
P1_68,P1,68,Oct-Dec,127,29/10/2004,302.46,0.4,0.030214895,-2.07,0.059240652,0.707,0.645,0.039056165
P1_69,P1,69,Oct-Dec,128,26/10/2004,299.57,0.54,0.030214895,-2.01,0.059240652,0.662,0.6,0.039056165
P1_69,P1,69,Oct-Dec,128,26/10/2004,299.57,0.55,0.030214895,-1.94,0.059240652,0.641,0.579,0.039056165
P1_70,P1,70,Oct-Dec,130,20/10/2004,293.78,0.57,0.030214895,-1.92,0.059240652,0.658,0.596,0.039056165
P1_70,P1,70,Oct-Dec,130,20/10/2004,293.78,0.59,0.030214895,-1.92,0.059240652,0.683,0.621,0.039056165
P1_71,P1,71,Oct-Dec,132,15/10/2004,288,0.59,0.030214895,-1.94,0.059240652,0.692,0.63,0.039056165
