lat,lon,tos,source_file,month
7.5,-79.5,26.17023481792874,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
7.5,-78.5,26.1165823759856,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
8.5,-81.5,27.373381328582763,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
8.5,-80.5,27.362267398834227,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
8.5,-79.5,25.87018232345581,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
8.5,-78.5,25.007196521759035,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
8.5,-77.5,28.345827674865724,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
9.5,-81.5,26.902263577779134,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
9.5,-80.5,27.003160981778738,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
9.5,-79.5,26.940232834449187,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
9.5,-78.5,27.01598841349284,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
9.5,-77.5,27.34014839949431,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - February (28 models),February
7.5,-81.5,27.569698015848797,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
7.5,-80.5,27.180056762695312,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
7.5,-79.5,27.295457578588408,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
7.5,-78.5,27.303514311048716,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
8.5,-81.5,27.815411186218263,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
8.5,-80.5,27.734398746490477,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
8.5,-79.5,27.252691745758057,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
8.5,-78.5,26.87821760177612,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
8.5,-77.5,28.490374946594237,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
9.5,-81.5,27.208132846267137,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
9.5,-80.5,27.33086738939639,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
9.5,-79.5,27.278099522223837,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
9.5,-78.5,27.309476241359008,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
9.5,-77.5,27.616213141547316,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - January (28 models),January
7.5,-81.5,28.70674012855247,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
7.5,-80.5,27.63060932159424,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
7.5,-79.5,28.806538324002865,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
7.5,-78.5,28.93861515257093,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
8.5,-81.5,28.49694404602051,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
8.5,-80.5,28.37978525161743,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
