date,lon,lat,SSS
1995-07-16,-79.5,9.849413,35.306812
1995-07-16,-78.5,9.849413,35.65941
1995-07-16,-77.5,9.849413,35.60751
1995-07-16,-76.5,9.849413,35.519924
1995-08-16,-84.5,7.917143,30.029259
1995-08-16,-83.5,7.917143,29.402254
1995-08-16,-82.5,7.917143,29.36063
1995-08-16,-81.5,7.917143,30.049744
1995-08-16,-80.5,7.917143,27.976885
1995-08-16,-79.5,7.917143,27.598764
1995-08-16,-78.5,7.917143,28.057234
1995-08-16,-84.5,8.509959,29.700266
1995-08-16,-83.5,8.509959,29.577719
1995-08-16,-84.5,9.1537075,30.210848
1995-08-16,-81.5,9.1537075,34.673267
1995-08-16,-80.5,9.1537075,33.94851
1995-08-16,-77.5,9.1537075,35.662758
1995-08-16,-76.5,9.1537075,35.348667
1995-08-16,-82.5,9.849413,35.49994
1995-08-16,-81.5,9.849413,35.466484
1995-08-16,-80.5,9.849413,34.707874
1995-08-16,-79.5,9.849413,35.07714
1995-08-16,-78.5,9.849413,35.453724
1995-08-16,-77.5,9.849413,35.616398
1995-08-16,-76.5,9.849413,35.646317
1995-09-16,-84.5,7.917143,29.611755
1995-09-16,-83.5,7.917143,28.928087
1995-09-16,-82.5,7.917143,28.746908
1995-09-16,-81.5,7.917143,29.236622
1995-09-16,-80.5,7.917143,27.748772
1995-09-16,-79.5,7.917143,27.55341
1995-09-16,-78.5,7.917143,27.625456
1995-09-16,-84.5,8.509959,29.240843
1995-09-16,-83.5,8.509959,28.889128
1995-09-16,-84.5,9.1537075,29.25708
1995-09-16,-81.5,9.1537075,34.17666
1995-09-16,-80.5,9.1537075,33.83171
1995-09-16,-77.5,9.1537075,35.104355
1995-09-16,-76.5,9.1537075,34.981785
1995-09-16,-82.5,9.849413,35.10172
1995-09-16,-81.5,9.849413,34.88274
1995-09-16,-80.5,9.849413,34.603218
1995-09-16,-79.5,9.849413,34.76967
1995-09-16,-78.5,9.849413,35.009495
1995-09-16,-77.5,9.849413,35.104168
1995-09-16,-76.5,9.849413,35.04025
1995-10-16,-84.5,7.917143,29.988218
1995-10-16,-83.5,7.917143,29.189259
1995-10-16,-82.5,7.917143,28.873743
1995-10-16,-81.5,7.917143,28.482786
1995-10-16,-80.5,7.917143,27.677649
1995-10-16,-79.5,7.917143,27.863989
1995-10-16,-78.5,7.917143,27.163733
1995-10-16,-84.5,8.509959,29.225903
1995-10-16,-83.5,8.509959,28.655285
1995-10-16,-84.5,9.1537075,29.051914
1995-10-16,-81.5,9.1537075,33.033314
1995-10-16,-80.5,9.1537075,32.82783
1995-10-16,-77.5,9.1537075,34.2535
1995-10-16,-76.5,9.1537075,34.22476
1995-10-16,-82.5,9.849413,34.099934
1995-10-16,-81.5,9.849413,34.090237
1995-10-16,-80.5,9.849413,33.614635
1995-10-16,-79.5,9.849413,33.906414
1995-10-16,-78.5,9.849413,34.03579
1995-10-16,-77.5,9.849413,34.19242
1995-10-16,-76.5,9.849413,34.19641
1995-11-16,-84.5,7.917143,30.364891
1995-11-16,-83.5,7.917143,30.174917
1995-11-16,-82.5,7.917143,29.213425
1995-11-16,-81.5,7.917143,29.074982
1995-11-16,-80.5,7.917143,28.779074
1995-11-16,-79.5,7.917143,28.529346
1995-11-16,-78.5,7.917143,27.790768
1995-11-16,-84.5,8.509959,29.81125
1995-11-16,-83.5,8.509959,29.845417
1995-11-16,-84.5,9.1537075,29.356138
1995-11-16,-81.5,9.1537075,33.00651
1995-11-16,-80.5,9.1537075,32.719448
1995-11-16,-77.5,9.1537075,34.089928
1995-11-16,-76.5,9.1537075,33.89787
1995-11-16,-82.5,9.849413,33.663258
1995-11-16,-81.5,9.849413,33.734924
1995-11-16,-80.5,9.849413,33.40007
1995-11-16,-79.5,9.849413,33.671432
1995-11-16,-78.5,9.849413,33.935963
1995-11-16,-77.5,9.849413,34.195515
1995-11-16,-76.5,9.849413,34.035408
1995-12-16,-84.5,7.917143,32.47792
1995-12-16,-83.5,7.917143,31.497053
1995-12-16,-82.5,7.917143,30.132626
1995-12-16,-81.5,7.917143,29.924255
1995-12-16,-80.5,7.917143,29.612814
1995-12-16,-79.5,7.917143,29.52491
1995-12-16,-78.5,7.917143,28.701216
1995-12-16,-84.5,8.509959,31.76769
1995-12-16,-83.5,8.509959,31.221546
1995-12-16,-84.5,9.1537075,31.289328
1995-12-16,-81.5,9.1537075,33.99661
1995-12-16,-80.5,9.1537075,33.571896
1995-12-16,-77.5,9.1537075,34.989197
1995-12-16,-76.5,9.1537075,35.025173
1995-12-16,-82.5,9.849413,34.744614
1995-12-16,-81.5,9.849413,34.655174
1995-12-16,-80.5,9.849413,34.180695
1995-12-16,-79.5,9.849413,34.3666
1995-12-16,-78.5,9.849413,34.815693
1995-12-16,-77.5,9.849413,35.136955
