"","timeseries","SSStime"
"1","20100106","34.2666988372803"
"2","20100107","34.2615761756897"
"3","20100108","34.2569727897644"
"4","20100109","34.2516889572144"
"5","20100110","34.2456948757172"
"6","20100111","34.2394347190857"
"7","20100112","34.2327542304993"
"8","20100113","34.225935459137"
"9","20100114","34.2190067768097"
"10","20100115","34.2133729457855"
"11","20100116","34.2104823589325"
"12","20100117","34.2094004154205"
"13","20100118","34.2109384536743"
"14","20100119","34.213127374649"
"15","20100120","34.2169907093048"
"16","20100121","34.2210414409637"
"17","20100122","34.2240216732025"
"18","20100123","34.2249364852905"
"19","20100124","34.221453666687"
"20","20100125","34.2155883312225"
"21","20100126","34.2069172859192"
"22","20100127","34.1966650485992"
"23","20100128","34.1866555213928"
"24","20100129","34.1789085865021"
"25","20100130","34.1753706932068"
"26","20100131","34.176637172699"
"27","20100201","34.1826529502869"
"28","20100202","34.1930212974548"
"29","20100203","34.2065262794495"
"30","20100204","34.2209167480469"
"31","20100205","34.2360761165619"
"32","20100206","34.250786781311"
"33","20100207","34.2632443904877"
"34","20100208","34.273026227951"
"35","20100209","34.2806317806244"
"36","20100210","34.2845528125763"
"37","20100211","34.2853257656097"
"38","20100212","34.2845015525818"
"39","20100213","34.281307220459"
"40","20100214","34.2760126590729"
"41","20100215","34.2699482440948"
"42","20100216","34.2627859115601"
"43","20100217","34.255607843399"
"44","20100218","34.2498781681061"
"45","20100219","34.2455627918243"
"46","20100220","34.2440519332886"
"47","20100221","34.2449102401733"
"48","20100222","34.2479221820831"
"49","20100223","34.2532649040222"
"50","20100224","34.261242389679"
"51","20100225","34.2700412273407"
"52","20100226","34.2789742946625"
"53","20100227","34.2881805896759"
"54","20100228","34.2970328330994"
"55","20100301","34.3046317100525"
"56","20100302","34.312246799469"
"57","20100303","34.3184194564819"
"58","20100304","34.3238475322723"
"59","20100305","34.3278677463531"
"60","20100306","34.3331384658813"
"61","20100307","34.3371877670288"
"62","20100308","34.3414242267609"
"63","20100309","34.3461863994598"
"64","20100310","34.3520858287811"
"65","20100311","34.3591446876526"
"66","20100312","34.3678603172302"
"67","20100313","34.3770694732666"
"68","20100314","34.3877611160278"
"69","20100315","34.3969254493713"
"70","20100316","34.4033455848694"
"71","20100317","34.4092543125153"
"72","20100318","34.4132206439972"
"73","20100319","34.4148819446564"
"74","20100320","34.414840221405"
"75","20100321","34.4124836921692"
"76","20100322","34.4099831581116"
"77","20100323","34.4061617851257"
"78","20100324","34.4023356437683"
"79","20100325","34.3993437290192"
"80","20100326","34.3972215652466"
"81","20100327","34.3980422019958"
"82","20100328","34.4006435871124"
"83","20100329","34.4058589935303"
"84","20100330","34.4119791984558"
"85","20100331","34.4189898967743"
"86","20100401","34.4256019592285"
"87","20100402","34.4316906929016"
"88","20100403","34.4360158443451"
"89","20100404","34.438440322876"
"90","20100405","34.4389264583588"
"91","20100406","34.4366016387939"
"92","20100407","34.4328262805939"
"93","20100408","34.4278562068939"
"94","20100409","34.4221005439758"
"95","20100410","34.4174592494965"
"96","20100411","34.4137232303619"
"97","20100412","34.4117240905762"
"98","20100413","34.4114944934845"
"99","20100414","34.4128329753876"
"100","20100415","34.4157083034515"
"101","20100416","34.4188897609711"
"102","20100417","34.4217684268951"
"103","20100418","34.4236538410187"
"104","20100419","34.4253678321838"
"105","20100420","34.4264914989471"
"106","20100421","34.4266693592072"
"107","20100422","34.4273321628571"
"108","20100423","34.4274504184723"
"109","20100424","34.4270803928375"
"110","20100425","34.4272475242615"
"111","20100426","34.4273335933685"
"112","20100427","34.4259169101715"
"113","20100428","34.4247455596924"
"114","20100429","34.4245691299438"
"115","20100430","34.4225902557373"
"116","20100501","34.4206187725067"
"117","20100502","34.4192254543304"
"118","20100503","34.4190983772278"
"119","20100504","34.4205815792084"
"120","20100505","34.4236090183258"
"121","20100506","34.4278898239136"
"122","20100507","34.4328632354736"
"123","20100508","34.4373409748077"
