,mu_measurement_SST,std_measurement_SST,mu_measurement_SSS,std_measurement_SSS,mu_measurement_precip,std_measurement_precip,mu_prior_SST,std_prior_SST,mu_prior_SSS,std_prior_SSS,mu_prior_precip,std_prior_precip,mu_prior_d18Oc,std_prior_d18Oc,mu_prior_D47,std_prior_D47,mu_likelihood_SST,std_likelihood_SST,mu_likelihood_d18Oc,std_likelihood_d18Oc,mu_likelihood_D47,std_likelihood_D47,mu_post_SST,std_post_SST,mu_post_SSS,std_post_SSS,mu_post_precip,cov_post_precip,mu_post_d18Oc,cov_post_d18Oc,mu_post_D47,std_post_D47
0,26.053977151000005,0.8542034320700539,33.86770403389537,2.1346465694959385,0.8319354838709678,1.1039076418401712,27.447329288272293,0.3867724438967149,33.55640634105831,2.671940636984737,0.9532644193333334,0.34180363742143,-2.019764868502839,0.597011150502154,0.5861113554805272,0.0015422542077620496,20.90107675408683,1.843675911993293,nan,nan,0.6060212765957449,0.005696927175665367,28.074233122198905,0.4932305375138919,31.018442999162254,0.7029035394453067,1.4258145255268144,0.3390165621009156,-2.7479316406532575,0.1152311867721379,0.5842739691827454,0.0009916085146887508
1,22.937678135,1.0662527977820357,34.75316947924804,1.4166854619798623,0.24839285714285717,0.4065545726827831,26.77931444477054,0.8113448635576229,34.15940389513484,1.8722102689194562,0.660658408,0.27108400650144876,-1.7274313462214443,0.3703959930033017,0.5880785446665174,0.002623579825359704,15.162106598161188,1.5252036376653935,nan,nan,0.6246290322580648,0.004960137915140396,27.493536276941995,0.5406522130876918,31.749157376045428,0.7605130882113104,1.0144111765741242,0.25100527358140584,-2.446066217551485,0.12331843304713985,0.5859756452452367,0.0011982077931859043
2,22.177052422000003,2.008748248374434,35.112822656255666,1.121932587865051,0.6722580645161289,0.638900350541554,26.66707259180296,1.0531318234999243,34.48930198714991,1.7069286278408367,0.7587065833333334,0.23717465516579728,-1.6260694834978242,0.28558600436655124,0.5884060693480557,0.0033055979468063147,14.534155807561262,1.4930965479774145,nan,nan,0.6267343750000002,0.0048820206250000005,27.616864733060027,0.5685205158344108,32.65241809654201,0.740630750029771,1.0640142836678748,0.20191575094371236,-2.2667329467953437,0.10927077781893092,0.5856132717031008,0.0012996235465687208
3,25.165710144,1.494854974202893,35.192465907219756,1.0201203782287827,1.6490000000000002,1.1889122750063685,27.070428120793974,1.0967931836559808,34.63604849320413,1.8660247333108544,1.8459080333333333,0.5131687823772236,-1.6851339174373514,0.32615673030678455,0.5872147796409747,0.003417553989502697,21.62588278674457,2.3893674163848124,nan,nan,0.6037500000000001,0.007380921410993213,28.982111998329856,0.6155150053843836,33.182838204585806,0.7563967626161461,2.290858338368735,0.24240141740652407,-2.4593094245420044,0.1007959986000799,0.58163382869926,0.0014437728609630993
4,27.723034647777776,0.6146890171584455,34.78473880757109,1.3145947807603096,5.488225806451613,2.188379077040676,27.818266050467223,1.002686540313158,33.9450946883731,2.818983639578938,6.333253753333333,0.9177065531734186,-2.015886170510692,0.5942346531118764,0.5850221696013627,0.0031259145933992274,17.887460255565657,2.5321884079303607,nan,nan,0.6156521739130436,0.008143773360291432,30.47239522736959,0.6675000382395906,32.74322819055947,0.81802018014296,7.572196873974024,0.46886939185696014,-2.903802960265697,0.1081158878593002,0.5773526267963625,0.0015925932613283654
5,28.34105632888889,0.3394081694898215,34.14922047049382,1.8255718601064035,6.6611666666666665,2.3871868674971544,28.382198581241425,0.7028883462171998,32.89174744391334,3.1852576952247684,10.838047999999999,1.0807199571066368,-2.38789044158147,0.70492046565912,0.5833776164844884,0.0022978289673221157,23.0293841058903,4.029017019677839,nan,nan,0.5994,0.012350643807135015,30.544543219839966,0.6453723267951795,31.173889330347127,0.7307860016299972,12.254840222416359,1.0068644846861636,-3.28137485951324,0.07858804684648871,0.5771470350776206,0.0015155175818261292
6,28.215747359999995,0.30035705768517146,33.787348122205486,2.0889312686313284,5.129032258064516,2.575309403231489,28.620969623902194,0.4734740362170419,32.67052506995874,2.739382181295736,11.846858433333333,1.118035397942315,-2.4938400626515116,0.6094686133845433,0.582682399889037,0.0017248917165311088,24.67651184556763,4.57820933134162,nan,nan,0.5943749999999999,0.013808439559320346,30.2646544897342,0.5994916567788167,31.732398965939314,0.6665702087996093,13.139689636786354,1.1134964913363752,-3.088427152519256,0.06682900267095103,0.5779454970874388,0.001361521902025513
7,28.1912413,0.2932948451566602,33.570209554747905,2.2822378326281125,5.502304147465438,2.8948449180823634,28.797222604235355,0.4801020674025269,32.464487237310756,3.012318445719144,11.9147063,1.1991616934411753,-2.5818574322272045,0.6738903427880735,0.5821706260415981,0.0017420498652903056,28.01591177882574,4.467786476434726,nan,nan,0.5844444444444444,0.013018721666666665,30.22025880237703,0.6129169475834647,31.753575437000343,0.694025774559004,13.183660437621654,0.9913470119276551,-3.0733271431251805,0.0751568868182061,0.5780724339828797,0.001410109496773368
8,28.231611883333336,0.28079002150576404,33.243543596608646,2.5393118225681515,6.3493650793650795,2.6186312410722468,29.091942083374676,0.4694223623992221,31.973642440856022,3.0596355775696615,11.875222299999999,1.1944672614649143,-2.7626453192012783,0.6855003271018936,0.5813173380464133,0.0017151774846103592,26.807117529603943,4.413174575199445,nan,nan,0.588,0.013018721666666665,29.440599628728194,0.538621701949092,30.992561063783743,0.6296170950830302,13.019726689845289,0.849426273415834,-3.0687154780781705,0.07647558559970107,0.5803097650428584,0.0011486373877261805
9,27.940421774000004,0.33481732278578585,33.298922284182794,2.711416553812248,6.5007680491551465,1.6851527394320378,29.155676381385174,0.5311625532202573,31.856850049576277,2.75994613392013,10.882880366666667,1.143805724933848,-2.804147423214088,0.6119266916557761,0.5811337311499344,0.0018584462533664558,17.95631676982032,4.563285171168255,nan,nan,0.6154285714285714,0.014761842821986422,28.67564706809793,0.477572199112606,30.976968077914943,0.5520574170820489,12.66856602990488,0.7470191791741649,-2.8960455144523567,0.06616140487990782,0.5825225211702846,0.0009140286162460604
