"modelname","month","SSS","SSS_SD","SLdepth"
"COSMOS","Jan",19.8869209289551,0.701054049600575,"6"
"COSMOS","Feb",19.9303941726685,0.698782388584073,"6"
"COSMOS","Mar",19.860138575236,0.670574822461204,"6"
"COSMOS","Apr",19.6715186436971,0.608104863715202,"6"
"COSMOS","May",19.4682207107544,0.596842345836973,"6"
"COSMOS","Jun",19.3588631947835,0.646350076208592,"6"
"COSMOS","Jul",19.2280015945435,0.672041662378476,"6"
"COSMOS","Aug",19.139396349589,0.693610203335053,"6"
"COSMOS","Sep",19.2641487121582,0.763215194564112,"6"
"COSMOS","Oct",19.5235007603963,0.840106514806484,"6"
"COSMOS","Nov",19.7290767033895,0.833065989463778,"6"
"COSMOS","Dec",19.8225533167521,0.749061379030089,"6"
"HadCM3","Jan",35.5834283828735,0.0582915351421186,"5"
"HadCM3","Feb",35.6165056228638,0.0514765700534494,"5"
"HadCM3","Mar",35.6041736602783,0.0606876716729369,"5"
"HadCM3","Apr",35.5055351257324,0.117591178070551,"5"
"HadCM3","May",35.330171585083,0.224683427319127,"5"
"HadCM3","Jun",35.1344413757324,0.349038386009772,"5"
"HadCM3","Jul",34.8787698745727,0.561080019750548,"5"
"HadCM3","Aug",34.6056776046753,0.716352407758492,"5"
"HadCM3","Sep",34.6961116790771,0.533026167476362,"5"
"HadCM3","Oct",35.0682058334351,0.295653616537543,"5"
"HadCM3","Nov",35.3555030822754,0.156988852865088,"5"
"HadCM3","Dec",35.5052480697632,0.0863117780884654,"5"
"IPSL-CM6A-LR","Jan",34.3156324114118,0.313059884316418,"0.505760014057159"
"IPSL-CM6A-LR","Feb",34.2755105154855,0.323485823793274,"0.505760014057159"
"IPSL-CM6A-LR","Mar",34.1839049203055,0.298685230138779,"0.505760014057159"
"IPSL-CM6A-LR","Apr",34.0792743137905,0.266260223271556,"0.505760014057159"
"IPSL-CM6A-LR","May",33.9281670706613,0.2275883715787,"0.505760014057159"
