Final_d18O,Final_d13C,Specimen,Species,D47_corr,D47_sd_ext,d18O_sd_ext,d13C_sd_ext,ShellChron_DOY,ShellChron_DOY_err,Month,T_mean,T_sd
1.53,0.47,SG126,Astarte benedeni,0.681872132,0.056342426,0.082083598,0.057852486,43.04459889,77.89123319,2,0.52036235,14.6481095
1.07,-0.11,SG127,Astarte benedeni,0.69186289,0.056342426,0.082083598,0.057852486,251.7456193,38.62819127,9,-2.02280242,14.23980106
1.41,-0.06,SG126,Astarte benedeni,0.651859844,0.056342426,0.082083598,0.057852486,10.58681286,58.62502102,1,8.613194873,16.00053815
1.34,-0.34,SG126,Astarte benedeni,0.681856797,0.056342426,0.082083598,0.057852486,64.3085596,81.86439992,3,0.524321217,14.64875125
1.29,0.24,SG126,Astarte benedeni,0.711847489,0.056342426,0.082083598,0.057852486,29.95202079,76.36062775,1,-6.904162832,13.47795438
1.84,0.93,SG127,Astarte benedeni,0.691844385,0.056342426,0.082083598,0.057852486,73.55663133,46.75859588,3,-2.018157243,14.24053968
1.6,0.23,SG126,Astarte benedeni,0.651841049,0.056342426,0.082083598,0.057852486,10.58681286,58.62502102,1,8.618490036,16.00144992
1.18,-0.05,SG127,Astarte benedeni,0.691834798,0.056342426,0.082083598,0.057852486,251.7456193,38.62819127,9,-2.01575051,14.24092238
1.53,0.34,SG126,Astarte benedeni,0.67183165,0.056342426,0.082083598,0.057852486,86.36627446,76.42771709,3,3.149669479,15.0785735
1.08,0.58,SG127,Astarte benedeni,0.66182858,0.056342426,0.082083598,0.057852486,146.6697806,18.27762575,5,5.846012951,15.52890421
1.71,-0.08,SG126,Astarte benedeni,0.721825274,0.056342426,0.082083598,0.057852486,278.1639523,43.82182201,10,-9.244648294,13.12271975
0.77,0.4,SG127,Astarte benedeni,0.70181893,0.056342426,0.082083598,0.057852486,237.5809906,46.76962772,8,-4.487881582,13.851503
1.04,0.59,SG127,Astarte benedeni,0.641815735,0.056342426,0.082083598,0.057852486,146.6697806,18.27762575,5,11.48627064,16.50049642
1.59,0.28,SG126,Astarte benedeni,0.691812539,0.056342426,0.082083598,0.057852486,10.58681286,58.62502102,1,-2.010162597,14.24181096
2.49,1.09,SG127,Astarte benedeni,0.691809184,0.056342426,0.082083598,0.057852486,76.44732619,35.30627562,3,-2.00932023,14.24194492
1.34,0.48,SG126,Astarte benedeni,0.70180275,0.056342426,0.082083598,0.057852486,43.04459889,77.89123319,2,-4.48392983,13.85211963
1.67,-0.07,SG126,Astarte benedeni,0.651799594,0.056342426,0.082083598,0.057852486,278.1639523,43.82182201,10,8.630170448,16.00346128
1.06,-0.27,SG127,Astarte benedeni,0.711796195,0.056342426,0.082083598,0.057852486,240.2100664,39.77240181,8,-6.891969515,13.479822
1.82,0.94,SG107,Arctica islandica,0.620629748,0.056342426,0.082083598,0.057852486,260.7933042,,9,17.84643802,17.6451509
2.23,1.97,SG116,Glycymeris radiolyrata,0.670627788,0.056342426,0.082083598,0.057852486,108.7232974,48.38176842,4,3.470039529,15.13160685
2.19,1.39,SG107,Arctica islandica,0.680623991,0.056342426,0.082083598,0.057852486,80.08313049,6.220862735,3,0.843133304,14.70049516
2.15,1.38,SG107,Arctica islandica,0.650622105,0.056342426,0.082083598,0.057852486,90.6822231,7.13416688,3,8.962551102,16.06076976
1.83,1.29,SG107,Arctica islandica,0.670611014,0.056342426,0.082083598,0.057852486,212.8834978,17.54286229,7,3.474511297,15.132348
2.11,2.06,SG116,Glycymeris radiolyrata,0.68060177,0.056342426,0.082083598,0.057852486,319.3214851,18.78194332,11,0.848889828,14.7014306
1.75,1.19,SG107,Arctica islandica,0.720566548,0.056342426,0.082083598,0.057852486,101.7735288,,4,-8.952787859,13.16666587
1.93,1.89,SG116,Glycymeris radiolyrata,0.69056155,0.056342426,0.082083598,0.057852486,272.5362766,43.19078049,9,-1.695555498,14.29190021
1.34,2.11,SG116,Glycymeris radiolyrata,0.6705515,0.056342426,0.082083598,0.057852486,199.3155108,11.36456868,7,3.490378931,15.13497809
0.93,2.23,SG116,Glycymeris radiolyrata,0.600548258,0.056342426,0.082083598,0.057852486,193.8878909,,7,24.28622834,18.85853201
1.28,2.3,SG116,Glycymeris radiolyrata,0.630541734,0.056342426,0.082083598,0.057852486,270.5310592,,9,14.81825145,17.09359259
2.77,1.51,SG107,Arctica islandica,0.640506806,0.056342426,0.082083598,0.057852486,17.23976472,3.373816746,1,11.8671936,16.5675756
2.15,1.4,SG107,Arctica islandica,0.640505303,0.056342426,0.082083598,0.057852486,85.96465068,6.945563122,3,11.86763213,16.56765293
1.41,0.91,SG107,Arctica islandica,0.640503759,0.056342426,0.082083598,0.057852486,118.7805058,10.6536896,4,11.8680822,16.5677323
2.97,1.18,SG107,Arctica islandica,0.680495971,0.056342426,0.082083598,0.057852486,356.9982565,3.704607985,12,0.876303864,14.70588597
0.98,2.24,SG116,Glycymeris radiolyrata,0.630492988,0.056342426,0.082083598,0.057852486,106.7392594,60.98791053,4,14.83291307,17.09623418
2.27,2.06,SG116,Glycymeris radiolyrata,0.62049137,0.056342426,0.082083598,0.057852486,307.9909833,14.49416981,11,17.88939229,17.65306132
2.06,1.96,SG116,Glycymeris radiolyrata,0.670489868,0.056342426,0.082083598,0.057852486,26.40798749,10.94935717,1,3.506813941,15.13770255
1.69,2.01,SG116,Glycymeris radiolyrata,0.640488288,0.056342426,0.082083598,0.057852486,14.13288086,,1,11.8725937,16.56852788
1.56,1.19,SG107,Arctica islandica,0.69048527,0.056342426,0.082083598,0.057852486,232.8652951,7.839181078,8,-1.676336821,14.29496394
2.13,1.28,SG107,Arctica islandica,0.700482279,0.056342426,0.082083598,0.057852486,95.50875694,,4,-4.160835187,13.90259879
2.76,1.62,SG107,Arctica islandica,0.700480802,0.056342426,0.082083598,0.057852486,88.17750149,51.82852424,3,-4.160473214,13.90265541
1.08,2.24,SG116,Glycymeris radiolyrata,0.640474593,0.056342426,0.082083598,0.057852486,170.6291575,11.69150004,6,11.87658776,16.56923223
2.17,1.95,SG116,Glycymeris radiolyrata,0.700471587,0.056342426,0.082083598,0.057852486,324.1426096,34.36119988,11,-4.158214271,13.90300878
1.06,2.31,SG116,Glycymeris radiolyrata,0.720470022,0.056342426,0.082083598,0.057852486,120.788468,12.12179679,4,-8.930366433,13.17004605
1.5,2.28,SG116,Glycymeris radiolyrata,0.630468607,0.056342426,0.082083598,0.057852486,283.3740042,,10,14.84024717,17.09755567
0.98,2.08,SG116,Glycymeris radiolyrata,0.71046419,0.056342426,0.082083598,0.057852486,121.370424,23.8555738,4,-6.574743173,13.5284726
2.46,2.04,SG116,Glycymeris radiolyrata,0.680462679,0.056342426,0.082083598,0.057852486,343.5619309,,12,0.884931966,14.70728841
1.37,1.97,SG116,Glycymeris radiolyrata,0.630461279,0.056342426,0.082083598,0.057852486,168.4339134,12.43430832,6,14.84245153,17.09795287
2.07,2.12,SG116,Glycymeris radiolyrata,0.630459842,0.056342426,0.082083598,0.057852486,302.8561887,20.07017398,10,14.84288378,17.09803076
2.64,1.42,SG107,Arctica islandica,0.700455486,0.056342426,0.082083598,0.057852486,21.79482232,3.424649186,1,-4.154267394,13.90362621
2.5,1.08,SG107,Arctica islandica,0.700454099,0.056342426,0.082083598,0.057852486,267.2724404,5.89122762,9,-4.153927431,13.9036794
2.44,1.95,SG116,Glycymeris radiolyrata,0.640258933,0.056342426,0.082083598,0.057852486,336.130245,31.37826676,12,11.93950201,16.58032992
1.22,2.31,SG116,Glycymeris radiolyrata,0.680256754,0.056342426,0.082083598,0.057852486,169.8997707,12.65022605,6,0.938318756,14.71596812
1.67,2.31,SG116,Glycymeris radiolyrata,0.620255406,0.056342426,0.082083598,0.057852486,310.8960879,14.09954968,11,17.96268244,17.66656399
1.2,2.15,SG116,Glycymeris radiolyrata,0.680251835,0.056342426,0.082083598,0.057852486,49.70382851,15.89068044,2,0.939594489,14.71617557
2.55,1.89,SG116,Glycymeris radiolyrata,0.570249719,0.056342426,0.082083598,0.057852486,356.0071006,4.771256486,12,34.86623867,20.97489081
1.47,2.06,SG116,Glycymeris radiolyrata,0.620245128,0.056342426,0.082083598,0.057852486,237.5965915,28.13428604,8,17.96587574,17.66715248
1.13,2.33,SG116,Glycymeris radiolyrata,0.649845442,0.056342426,0.082083598,0.057852486,113.1428242,12.01603178,4,9.18243144,16.09875822
2.16,1.48,SG107,Arctica islandica,0.649801691,0.056342426,0.082083598,0.057852486,81.26605607,6.214623122,3,9.194833149,16.10090268
2.33,1.51,SG107,Arctica islandica,0.619788625,0.056342426,0.082083598,0.057852486,60.48528831,4.6754163,2,18.10782692,17.69332575
1.57,1.81,SG116,Glycymeris radiolyrata,0.629018953,0.056342426,0.082083598,0.057852486,46.37938245,12.9640064,2,15.27733133,17.17643809
1.11,2.22,SG116,Glycymeris radiolyrata,0.649009203,0.056342426,0.082083598,0.057852486,279.1523529,16.85806679,10,9.419754476,16.13982921
1.91,2.19,SG116,Glycymeris radiolyrata,0.608945425,0.056342426,0.082083598,0.057852486,292.8502509,,10,21.54180881,18.33464073
2.48,1.56,SG107,Arctica islandica,0.638940924,0.056342426,0.082083598,0.057852486,63.89424227,3.66102366,3,12.32491052,16.64842478
0.67,2,SG116,Glycymeris radiolyrata,0.658929198,0.056342426,0.082083598,0.057852486,239.0652263,13.3441978,8,6.642420441,15.66365426
1.3,1.14,SG107,Arctica islandica,0.618913554,0.056342426,0.082083598,0.057852486,108.4199276,8.731372824,4,18.38051442,17.74367917
2.31,1.42,SG107,Arctica islandica,0.648909091,0.056342426,0.082083598,0.057852486,48.8081316,5.236737759,2,9.448206015,16.14475782
2.48,1.52,SG107,Arctica islandica,0.648901016,0.056342426,0.082083598,0.057852486,38.02296934,4.449940162,2,9.45050124,16.14515547
1.96,1.15,SG107,Arctica islandica,0.748336566,0.056342426,0.082083598,0.057852486,101.7735288,,4,-15.17553614,12.25115076
2.32,1.46,SG107,Arctica islandica,0.648321492,0.056342426,0.082083598,0.057852486,60.48528831,4.6754163,2,9.615374397,16.17373696
2.32,1.42,SG107,Arctica islandica,0.63815129,0.056342426,0.082083598,0.057852486,54.6031029,4.745942249,2,12.55656327,16.6894458
2.01,0.72,SG107,Arctica islandica,0.588159689,0.056342426,0.082083598,0.057852486,104.2176389,15.86156759,4,28.47889402,19.67865353
0.88,0.92,SG127,Astarte benedeni,0.658632373,0.056342426,0.082083598,0.057852486,174.5199904,16.93703671,6,6.724338486,15.67755976
1,0.4,SG127,Astarte benedeni,0.648636393,0.056342426,0.082083598,0.057852486,134.8592564,,5,9.525750041,16.15819589
0.83,0.56,SG127,Astarte benedeni,0.718640146,0.056342426,0.082083598,0.057852486,216.2905956,44.81082849,8,-8.504232397,13.23440095
2.14,0.35,SG127,Astarte benedeni,0.608643988,0.056342426,0.082083598,0.057852486,72.79064719,77.4963025,3,21.63901537,18.3530236
