Cell,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
1,38.50383,38.79561,38.88490,38.62346,37.95837,37.39326,37.17495509,37.01374642,37.0681466,37.40050885,37.71547632,38.07958084
2,33.51595,33.94058,33.99986,33.48745,32.55230,31.86896,31.55313999,31.29457644,31.31110369,31.67317234,32.18357134,32.89043539
3,30.55703,30.98319,30.68873,29.90654,29.16374,28.63734,28.25028667,27.91059189,27.83452844,28.02868592,28.54278529,29.59065171
4,29.08014,29.74535,29.50671,28.25992,27.51258,27.07555,26.53371062,26.05821829,25.91710709,26.09447654,26.65161792,27.88693629
5,38.11947,38.49764,38.63081,38.33086,37.64991,36.96502,36.60158146,36.33886759,36.4686574,36.88060943,37.21785204,37.65875226
6,33.71383,33.96017,33.93439,33.39341,32.69943,32.29131,32.18244839,32.01006687,32.1364676,32.48291867,32.83312599,33.25405783
7,31.78753,32.36605,32.56739,32.12013,31.44845,30.83832,30.36408717,29.93749673,29.84694749,29.93510742,30.23713952,30.9407663
8,30.79418,31.44484,31.45291,30.40085,29.50329,29.04490,28.80070763,28.58018395,28.59423248,28.71516099,29.02934453,29.85057918
9,38.41979,38.68174,38.85825,38.75292,38.34024,37.83285,37.53512478,37.32137111,37.41544656,37.66524008,37.87653808,38.13054165
10,35.90320,36.07786,36.26948,36.14425,35.74549,35.34950,35.17785955,34.96173772,35.04210902,35.30988824,35.54071879,35.72529865
11,34.39102,34.64332,34.80670,34.59274,34.14315,33.71108,33.47866234,33.27308499,33.35176475,33.60599323,33.84647701,34.13146655
12,34.35011,34.59305,34.69609,34.36084,33.87716,33.53592,33.44034412,33.39082791,33.45850212,33.66140273,33.83256282,34.07147075
