Cell,ja,fb,mr,ar,my,jn,jl,ag,sp,ot,nv,dc
1,13.88296,12.96532,12.54287,13.14948,15.50969,19.78418,24.78350639,26.62065506,24.11413765,20.89316559,17.9542675,15.46824932
2,9.41522,8.00035,7.17732,7.57006,10.05566,14.35902,19.10805893,22.18245697,20.364748,16.84097481,13.72754383,11.31289196
3,6.91481,5.16087,3.44737,3.47598,6.18533,11.02206,15.75576687,18.66690063,17.22438431,13.54424381,10.49952602,8.500967026
4,4.79699,3.41105,1.64440,1.11390,3.97471,9.22395,14.23390675,16.94108772,15.11812973,11.05196476,7.909115791,5.984791756
5,15.00838,14.52493,14.27643,14.41702,15.80611,19.24882,23.49472237,25.56947327,23.2634716,20.37975121,17.81893158,16.06633949
6,9.75449,8.57229,7.69747,7.73695,9.93947,14.01659,17.83491135,20.30837822,18.95511436,16.05131531,13.26734447,11.2587719
7,7.47350,6.32277,5.28843,5.12485,7.14009,11.35480,15.10334587,17.14701462,15.98616314,13.02735138,10.36093998,8.661598206
8,4.62277,3.59004,2.39013,2.17286,4.79782,9.39797,12.96989918,14.68922138,13.24525261,9.995167732,7.367528439,5.684958458
9,14.98641,14.58443,14.51025,14.76298,15.87625,18.96595,22.4444294,24.54163742,22.61494827,19.93185234,17.50084496,15.92277718
10,10.51634,9.71122,9.40126,9.61473,11.07003,14.40323,17.39591217,19.46136665,18.54700661,16.06352997,13.50906277,11.7149725
11,7.64524,6.68542,6.15597,6.28377,7.96267,11.69673,15.14902592,17.09602165,16.08317566,13.31813622,10.76805496,8.96688652
12,5.16263,4.28446,3.77214,4.14815,6.67351,11.38673,15.44828129,16.83231735,14.51943588,10.76982212,8.144957542,6.365642548
