ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AK001,302,,,,,,,,,-2.21,0.24,,,,,0.1,221.695943,13.59785781,,,221.695943,
AK003,308,,,,,,,,,-2.05,0.51,,,,,0.1,223.1737477,13.6089141,,,223.1737477,
AK005,314,,,,,,,,,-1.62,0.15,,,,,0.1,224.5026377,13.63348185,,,224.5026377,
AK007,320,,,,,,,,,-1.85,0.21,,,,,0.1,225.6713462,13.58427884,,,225.6713462,
AK009,326,,,,,,,,,-1.6,0.15,,,,,0.1,227.5067125,13.65356733,,,227.5067125,
AK011,332,,,,,,,,,-1.67,0.49,,,,,0.1,228.9848936,13.75236034,,,228.9848936,
AK013,338,,,,,,,,,-1.85,0.44,,,,,0.1,230.6873627,13.83279668,,,230.6873627,
AK015,344,,,,,,,,,-1.91,0.44,,,,,0.1,232.2549285,14.69295318,,,232.2549285,
AK017 (2),351,,,,,,,,,-1.89,0.36,,,,,0.1,234.172428,14.1757855,,,234.172428,
AL001,356,,,,,,,,,-1.94,0.51,,,,,0.1,235.7508476,14.02037389,,,235.7508476,
AL003,362,,,,,,,,,-1.61,0.25,,,,,0.1,237.044205,13.979894,,,237.044205,
AL005,368,,,,,,,,,-1.2,0.02,,,,,0.1,238.444175,14.05923069,,,238.444175,
AL007,374,,,,,,,,,-1.44,-0.21,,,,,0.1,240.3830563,14.1488314,,,240.3830563,
AL009,380,,,,,,,,,-2.27,-2.01,,,,,0.1,241.868034,14.23153611,,,241.868034,
AL011,386,,,,,,,,,-1.4,0.22,,,,,0.1,243.7443804,14.3011041,,,243.7443804,
AL013,392,,,,,,,,,-1.28,0.23,,,,,0.1,244.8311601,14.3055628,,,244.8311601,
AL015,398,,,,,,,,,-1.4,0,,,,,0.1,246.646618,14.32107406,,,246.646618,
AL017,404,,,,,,,,,-1.54,0.06,,,,,0.1,247.8664987,14.43767265,,,247.8664987,
AL019,410,,,,,,,,,-1.52,0.03,,,,,0.1,250.1886173,14.72924304,,,250.1886173,
AMavg01,413,,,,,,,,,-1.24,,,,,,0.1,250.5281137,14.69211313,,,250.5281137,
AM001,416,,,,,,,,,-1.53,0.18,,,,,0.1,251.3720865,15.07296739,,,251.3720865,
AM003,422,,,,,,,,,-1.47,0.2,,,,,0.1,252.8569712,14.61078537,,,252.8569712,
AM005,428,,,,,,,,,-1.36,0,,,,,0.1,255.5137257,14.6958964,,,255.5137257,
AM007,434,,,,,,,,,-1.42,0.01,,,,,0.1,256.4383651,14.71177332,,,256.4383651,
AM009,440,,,,,,,,,-1.33,0.04,,,,,0.1,258.9470629,14.71259089,,,258.9470629,
AM011,446,,,,,,,,,-1.24,-0.07,,,,,0.1,260.3714484,14.77137371,,,260.3714484,
AM013,452,,,,,,,,,-1.13,-0.11,,,,,0.1,261.6784643,14.90340736,,,261.6784643,
AM015,458,,,,,,,,,-1.44,-0.01,,,,,0.1,261.451393,14.93188937,,,261.451393,
AM017,464,,,,,,,,,-1.28,0.03,,,,,0.1,262.0409234,15.27518103,,,262.0409234,
AM019,470,,,,,,,,,-1.54,0.19,,,,,0.1,265.2393192,16.76697534,,,265.2393192,
AM021,476,,,,,,,,,-1.76,0.11,,,,,0.1,266.6988874,17.70372552,,,266.6988874,
AN001,482,,,,,,,,,-1.3,0.25,,,,,0.1,265.3582783,17.286932,,,265.3582783,
AN003,488,,,,,,,,,-1.04,0.25,,,,,0.1,267.2268351,15.49489814,,,267.2268351,
AN005(2),495,,,,,,,,,-0.97,0.1,,,,,0.1,271.0902916,15.15767719,,,271.0902916,
AN007,500,,,,,,,,,-0.7,0.24,,,,,0.1,273.9634171,15.1357737,,,273.9634171,
AN009,506,,,,,,,,,-0.67,0.31,,,,,0.1,278.4150396,15.22013448,,,278.4150396,
AN011,512,,,,,,,,,-0.59,0.31,,,,,0.1,280.8788158,15.29450759,,,280.8788158,
AN013,518,,,,,,,,,-0.76,0.36,,,,,0.1,284.12256,15.49756026,,,284.12256,
AN015,524,,,,,,,,,-0.65,0.39,,,,,0.1,288.3239139,15.63752365,,,288.3239139,
AN017,530,,,,,,,,,-0.51,0.43,,,,,0.1,288.3387374,16.91668729,,,288.3387374,
AN019,536,,,,,,,,,-0.5,0.45,,,,,0.1,296.6342065,16.13706535,,,296.6342065,
