,mu_prior_SST,std_prior_SST,mu_prior_SAT,std_prior_SAT,mu_prior_SSS,std_prior_SSS,mu_prior_precip,std_prior_precip,mu_prior_d18Oc,std_prior_d18Oc,mu_prior_D47,std_prior_D47,mu_likelihood_SST,std_likelihood_SST,mu_likelihood_SSS,std_likelihood_SSS,mu_likelihood_d18Oc,std_likelihood_d18Oc,mu_likelihood_D47,std_likelihood_D47,mu_post_SST,std_post_SST,mu_post_SAT,std_post_SAT,mu_post_SSS,std_post_SSS,mu_post_precip,cov_post_precip,mu_post_d18Oc,cov_post_d18Oc,mu_post_D47,std_post_D47
0,23.86139364415018,2.839030416484688,16.279542236328137,3.4637789578825746,34.567593958624755,2.9309347639942738,2.05036494662636,0.6656403333772699,-0.8713443060724121,0.4307416228169818,0.5965678862698325,0.008904111131852476,13.128135009253185,0.5945157692669546,28.702088036305614,4.207282342183614,0.016,0.28503,0.6315000000000001,0.0016292500000000024,20.171769874009556,2.7443085884249507,27.258041600230456,1.3027818447298518,34.28941774265022,2.322074174736925,1.5326406306233098,0.6120560010386414,-0.07602900257133938,0.07216310660910487,0.6083241821812368,0.008629099538733061
1,23.17810471866319,2.986352310968253,17.01156005859377,3.1059437409506288,34.58037046968395,3.0000472686968362,2.0900210780609987,0.6261987838670506,-0.7161340389081051,0.4079074037753691,0.5985813934465994,0.009444673016201725,23.999930569083233,0.39501552053107514,38.1766209501524,1.2847644791515456,0.10700000000000001,0.03369000000000001,0.5964285714285713,0.0005710952380952389,20.410379837140738,2.4674658492875152,29.04895386515915,1.3899048647239132,34.25079698550334,2.0867297494943697,2.0590339634117325,0.5856078241003451,-0.14159034420727556,0.0615736613139308,0.6075688814560406,0.007724811182632897
2,23.147724742925575,2.9586497391988686,18.668688964843767,2.7891873199211266,34.56138134772649,2.9615959988890648,2.131098924337493,0.5604317511758444,-0.7139882951692403,0.3979276161096577,0.5986792408080414,0.0093615677591329,20.749052540373214,0.4434151681739885,34.22697101152538,1.5666049354423495,-0.22615384615384615,0.05951153846153845,0.6064999999999999,0.000874267857142857,21.294243814126048,2.2366831450472255,31.148733768574857,1.4332100822437959,34.8004590166177,1.8908115217640966,2.41774166427155,0.4932222687009844,-0.1946382419181908,0.05436474702242742,0.6047870968514435,0.0069229171894950895
3,23.9290866648725,2.740060088751453,21.54889648437501,2.5427116907420104,34.51812306313648,2.798718251625985,1.9671563542260622,0.676730407379574,-0.8989457806186367,0.3988986619201525,0.5963820413025376,0.008595544775568932,,,,,-0.5470000000000002,0.10270714285714287,,,23.038225904813885,2.0912968952344175,33.543993168300176,1.4166167200790902,36.22475468370301,1.770350631624676,2.6211713589458596,0.5524590557433735,-0.20622042053954104,0.05878806587298151,0.5993727859146843,0.006344912673749799
4,26.57514352265598,2.422163970224882,27.122449951171888,2.4648838679584877,34.46747836922367,2.593439057963672,1.4064344921962402,0.7139255137278882,-1.5104770505963203,0.41067086026290267,0.5885868545689854,0.007396864990513588,31.31198531610761,0.5446636166756383,39.54903166317249,2.0933648147704482,-1.201764705882353,0.09775970659450219,0.5749687499999999,0.0011324415322580643,26.892509035734065,2.15559031268417,38.16184491858928,1.3524758971729705,38.3167659146503,1.8306364069434224,2.310539821948142,0.550023033778311,-0.5210930139789207,0.07425103215770175,0.5877474606725159,0.0062873582768080425
5,30.58667586161037,2.225476871257093,32.08118530273438,2.733310054615005,34.42889084669983,2.475400414338939,1.6901619032978488,0.981286570145122,-2.4350462747375294,0.41700845337710984,0.5770581086206973,0.006538685099501597,25.277515107849013,0.5534341845541546,32.83919488394404,2.1814628255016975,-1.6498290598290601,0.10633544061302684,0.5925624999999999,0.0012889583333333336,31.49641729821633,2.4238292922547497,42.48345190408412,1.2850609735763157,39.437141378525894,2.0610609796949735,3.5327219349270313,0.7244639275922325,-1.2749184922876666,0.08809173984580067,0.574447978954114,0.006760095904900027
6,34.10417350923086,2.0215067461388547,35.76927734375,2.8553574916225153,34.38776902184371,2.3784112620831865,2.0951558468311764,1.2533398290455173,-3.2513630266766484,0.4304877217589145,0.5672792191565635,0.005755265679133298,26.528405679384548,0.7949986531293364,32.39018617132485,2.8546132976860337,-2.0610810810810816,0.11505072891072891,0.5888260869565219,0.002114340579710144,34.67997500511615,2.512243715141189,45.02979541178257,1.2562340348813608,40.0751877701831,2.1485503716446406,4.254158560134035,0.9483000837824288,-1.8336324231164092,0.11115634930879997,0.5656062138933191,0.006785874176705287
7,35.4887913884634,1.9040936000527455,35.78623779296875,2.6463149972980697,34.37323503283798,2.4547891455949573,1.9801853387093622,1.0071089319803872,-3.573177634208624,0.4887290530445367,0.5635119548835784,0.005348171824932041,,,,,-1.7621904761904765,0.0892355860805861,,,35.17201028279379,2.275955880610068,44.66616595089994,1.2581135863036077,39.55884551486808,1.9551805093298709,3.9569597192762123,0.7461082999832054,-2.088482384869416,0.11313546743430082,0.5642646401727791,0.006100343210427732
8,34.18526063481184,1.7371081362592797,32.02878784179689,2.525962013185988,34.38416153945246,2.5654907184245497,1.9421263511958378,0.7562729631334596,-3.2723418417022767,0.56171093357729,0.5670408969464823,0.004939846708675991,28.511260423184638,0.4880561773430146,36.62992656499721,1.936056841620894,-1.3562711864406785,0.09601089381428367,0.5830000000000001,0.0009641898395721918,32.08695915565664,2.0508887788610752,40.04869486163619,1.1305598057223123,38.56767402713576,1.7733155858052545,3.2695986559916363,0.6153123346303696,-1.6492220989741648,0.11626102274728672,0.5727863752651807,0.005658170576194381
9,31.27739675301695,1.6493087739480345,25.728966064453154,3.0079178405466136,34.425270133968525,2.6021008655329902,1.6398234649841477,0.48859498936348833,-2.5945587972316293,0.5893628299995839,0.575105084802133,0.004825306250007755,,,,,-0.5620833333333335,0.08056560283687943,,,28.16832770687671,2.3720248034966915,32.99003473541774,0.9468293143459566,38.15090860314411,2.049348151786169,2.2360505916180298,0.453186227231819,-0.8605053530787705,0.13156477434863087,0.5839993616860669,0.006843971048082958
10,28.24302759130872,2.073197558372759,20.42561767578126,3.588247353477814,34.47491547630984,2.6197419634488406,1.8276501341460962,0.6868409525864702,-1.8863486429308807,0.5174938654658029,0.5837636438640461,0.0062177576167070795,24.80053885438241,0.4582845855214838,38.225082288659564,1.7560359230016092,-0.06419354838709679,0.08315440860215054,0.5939999999999999,0.0008965666666666665,24.2462908478322,2.8500903159909563,28.89414297528799,1.0334481630644756,36.26081929514815,2.425350913743574,1.0173180493214546,0.5835234080827856,-0.4746946946575614,0.10510598696294327,0.5956792860371742,0.00859461614507495
11,25.51228171652508,2.5427338453709867,17.17369750976563,3.6993307688340047,34.533981891523425,2.7972951267542605,1.943341875517035,0.6802820061636992,-1.2508405703832222,0.46825536827909053,0.5917107744092964,0.00782821972637155,25.420366545192167,0.7146051105863009,38.389355969921766,2.3995966890195155,-0.16199999999999998,0.07602210526315789,0.5921333333333332,0.0018680476190476197,21.15200978928948,2.9247714544062844,26.8942336281159,1.184038085094056,34.80210317346151,2.477782229258537,1.0944525984825013,0.5597007794739646,-0.16141492616036546,0.08486844253208323,0.6052330803385514,0.009111836447005016
